inhuman	human
desirable	desirable
intricate	intricate
under	under
include	include
unpopular	popular
unavoidably	avoidably
decide	decide
unify	unify
deplorably	deplorably
undue	due
internally	internally
deficient	deficient
insuperable	superable
insufficiently	sufficiently
deplorable	deplorable
unexpected	expected
insignificant	significant
unhesitatingly	hesitatingly
design	design
uncomfortable	comfortable
unthinkable	thinkable
incompatible	compatible
depression	depression
defence	defence
unavailable	available
ineffectual	effectual
international	international
desires	desires
unspeakable	speakable
inconsiderable	considerable
interpret	interpret
unkind	kind
infrequently	frequently
ineffective	effective
defeat	defeat
depart	depart
decrease	decrease
unfunded	funded
intend	intend
indefensible	defensible
unwarranted	waranted
unilaterally	unilaterally
insights	sights
unrealistic	realistic
des	des
unreal	real
unilateral	unilateral
unjust	just
inaccessible	accessible
india	india
defective	defective
delay	delay
intelligent	intelligent
unbelievable	believable
intended	intended
insecure	secure
inconceivable	conceivable
democracy	democracy
inform	inform
untenable	tenable
deposit	deposit
unlawful	lawful
incessantly	incessantly
indeed	indeed
insight	insight
inconclusive	conclusive
unacceptable	acceptable
unjustified	justified
unsolved	solved
incapacity	capacity
including	including
interesting	interesting
unity	unity
insubstantial	substantial
decreased	decreaseed
instantly	instantly
undeveloped	developed
inherent	inherent
intolerable	tolerable
unachievable	achievable
unqualified	qualified
deficiency	deficiency
unlock	lock
unnatural	natural
defend	defend
inadequacy	adequacy
increase	increase
unwanted	wanted
inadequately	adequately
unresolved	resolveed
deprivation	deprivation
undesirable	desirable
ineffectively	effectively
indispensable	dispensable
unison	unison
unhealthy	healthy
declared	declared
unaccompanied	accompanied
instances	instances
untrue	true
unattainable	attainable
interchange	change
inapplicable	applicable
deceptive	deceptive
unknown	known
unsafe	safe
unduly	duly
indeterminate	determinate
unspecified	specified
inconvenient	convenient
inflow	inflow
inefficient	efficient
unoccupied	occupied
inexact	exact
unworkable	workable
inmates	inmates
depressed	depressed
anticipate	anticipate
defense	defense
uncanny	canny
unconditionally	conditionally
unwise	wise
indonesia	indonesia
unchanged	changed
unlikely	likely
unaffected	affected
unbearable	bearable
unsuitable	suitable
interior	interior
destroy	destroy
inconvenience	convenientce
insanity	sanity
defensible	defensible
inexcusable	excusable
undeniable	deniable
deliberate	deliberate
definitely	definitely
detriment	detriment
incomplete	complete
inexorably	exorably
inconsistent	consistent
determined	determined
debate	debate
untimely	timely
unfinished	finished
undoubtedly	undoubtedly
delays	delays
unemployment	employment
unhappy	happy
inadvisable	advisable
integrate	integrate
indifference	difference
inferior	inferior
unpleasant	pleasant
unconstitutional	constitutional
dependent	dependent
unimportant	important
infallible	fallible
untreated	treated
denmark	denmark
uncover	uncover
insane	insane
unmarried	married
unexpectedly	expectedly
demented	demented
individual	individual
unfairly	fairly
inappropriate	appropriate
unabated	abated
unable	able
injustice	justice
incompatibility	compatibility
unconscionable	conscionable
deliver	deliver
untouched	touched
unfold	fold
dedication	dedication
undetermined	determined
installation	installation
unconvincing	convincing
unclear	clear
unsuccessful	successful
indefinite	definite
decline	decline
unusual	usual
devil	devil
unhappily	happily
union	union
decent	decent
dependable	dependable
intrusive	intrusive
incompetent	competent
define	define
undefined	defined
uncommon	common
understand	understand
unintended	intended
indivisible	divisible
uncertain	certain
unprecedented	precedented
intimately	intimately
unsatisfactory	satisfactory
insanely	sanely
defeated	defeated
in	in
decisively	decisively
denial	denial
develop	develop
descent	descent
injurious	injurious
descend	descend
unfortunate	fortunate
independent	dependent
unimaginable	imaginable
unlimited	limited
uniform	uniform
delight	delight
decently	decently
decency	decency
infinite	finite
incredible	credible
inactive	active
insurmountable	surmountable
uneasy	easy
unfair	fair
unofficial	official
intensifying	intensifying
death	death
interested	interested
deliberately	deliberately
innocent	innocent
designate	designate
increased	increased
increases	increases
inflation	inflation
desk	desk
unique	unique
debatable	debatable
insert	insert
incompletely	completely
unnecessary	necessary
indication	indication
inter	inter
insincere	sincere
dear	dear
unless	less
intact	intact
unfit	fit
unpredictable	predictable
decision	decision
unmatched	matched
denied	denied
inaccurate	accurate
defensive	defensive
innocence	innocence
intense	intense
industry	industry
dependence	dependence
despair	despair
unmanageable	manageable
insufficient	sufficient
integral	integral
unimpaired	impaired
determine	determine
intervention	intervention
intention	intention
interest	interest
understandably	understandably
unsettled	settled
inept	inept
deny	deny
deductions	deductions
dead	dead
unreliable	reliable
inhumane	humane
inside	inside
decorate	decorate
unequally	equally
devise	devise
inadequate	adequate
universal	universal
influence	influence
underprivileged	privileged
deep	deep
unreasonable	reasonable
ink	ink
deed	deed
incorrect	correct
detail	detail
invalid	valid
income	income
department	department
unbalanced	balanced
ineligible	eligible
intent	intent
desert	desert
unresponsive	responsive
unreasonably	reasonably
inescapable	escapable
indirectly	directly
decentralization	centralization
definitive	definitive
degree	degree
degrees	degrees
delisting	listing
denominated	nominated
depend	depend
dependable	dependable
depended	depended
depending	depending
depends	depends
deport	deport
deter	deter
inactive	active
inactivity	activity
inadvisable	advisable
inalienable	alienable
incite	incite
inconceivable	conceivable
incorporation	corporation
indeterminate	determinate
indian	indian
indiana	indiana
indians	indians
indiscriminate	discriminate
infusion	fusion
inshore	shore
insurmountable	surmountable
inter	inter
interconnected	interconnected
intolerable	tolerable
intolerance	tolerance
invariable	variable
invent	invent
invented	invented
inversely	inversely
inversion	inversion
invocation	invocation
inward	inward
unable	able
unbalanced	balanced
unbelievable	believable
unchangeable	changeable
unchanged	changed
undefined	defined
undetermined	determined
unease	ease
uneasy	easy
unendurable	endurable
unhappily	happily
unhesitatingly	hesitatingly
unidentified	identified
unison	unison
unjustifiable	justifiable
unjustified	justified
unleashed	leashed
unmasked	masked
unproductive	productive
unravel	ravel
unreliable	reliable
until	until
untrue	true
unworkable	workable
unworthy	worthy
inexpert	expert
unruffled	ruffled
unstructured	structureed
unglamorous	glamorous
invalidate	validate
unreconstructed	reconstructed
unaggressive	aggressive
inorganic	organic
unpleasantness	pleasantness
inconveniently	conveniently
unfixed	fixed
unsophisticated	sophisticateed
unadorned	adorned
untie	tie
undeclared	declared
unselfishly	selfishly
unpack	pack
inexperience	experience
indifferent	different
unwrinkled	wrinkled
unbelievably	believably
invulnerability	vulnerablility
decorum	decorum
unacknowledged	acknowledged
unhurriedly	hurriedly
unnaturalness	naturalness
unscrew	screw
unambiguity	ambiguity
infidelity	fidelity
unfriendly	friendly
unnamed	named
unnaturally	naturally
unsung	sung
unacquainted	acquainted
unfavorable	favorable
unglazed	glazed
unbroken	broken
unplowed	plowed
inarticulate	articulate
indecisively	decisively
indistinct	distinct
unafraid	afraid
unpaved	paved
unsuitably	suitably
unstuck	stuck
unorthodox	orthodox
uncommitted	committed
