big	small	antonym
detribalisation	tribalisation	antonym
properly	FALSE	other
enemy	friendly	antonym
cloud	clear	antonym
anymore	o'er	unrelated
rubber	creepy	unrelated
non-discriminatory	discriminatory	antonym
ordinary	rare	antonym
congruity	incongruity	antonym
huh	good	unrelated
restroom	inconvenience	unrelated
large	small	antonym
unimportant	requirement	antonym
withal	yes	unrelated
inflexibility	flexibility	antonym
irrelevant	reliable	unrelated
wanton	dark	unrelated
limitless	specify	unrelated
grow	die	antonym
compensate	outrageous	unrelated
rational	inordinate	unrelated
obtainable	possible	paraphrase
quality	bad	antonym
girlfriend	boy	antonym
chair	stool	antonym
tight	well-to-do	unrelated
insight	unperceptiveness	antonym
wellspring	right	unrelated
no	given	unrelated
top	foot	antonym
decent	spoilt	antonym
good	arduous	unrelated
tune	lyric	antonym
popular	unpopular	antonym
finland	the netherlands	category
near	cheesy	unrelated
alive	lifelike	paraphrase
comprise	management	unrelated
multilateral	unilateral	antonym
near	unfortunate	unrelated
put	 the lobby 	unrelated
cured	 be required 	unrelated
mal	dependable	unrelated
hardly	easy	antonym
likely	 relatively small 	unrelated
share	include	unrelated
collateral	lineal	antonym
sponsor	boycott	other
sight	additional details	unrelated
small	adult	antonym
eff	variable	unrelated
dream	real	antonym
bullshit	discipline	unrelated
good	hapless	antonym
pay	steal	antonym
trouble	safe	antonym
well	weird	unrelated
crazy	secure	unrelated
sound	taste	antonym
openhanded	conservative	antonym
unreceptive	receptive	antonym
identical	shortly	unrelated
applied	theoretical	antonym
achievable	possible	paraphrase
combine	tear	antonym
exporting	importing	antonym
injure	help	antonym
light	callous	unrelated
halt	good	unrelated
ridiculous	life-threatening	unrelated
slim	light	unrelated
hour	second	antonym
ill	beneficial	unrelated
even	likewise	unrelated
defeasible	indefeasible	antonym
scarcely	likewise	unrelated
unglamorous	unusual	unrelated
well	spiteful	antonym
sanitariness	unsanitariness	antonym
surprisingly	clearly	unrelated
ambitiously	unambitiously	antonym
restrain	alia	unrelated
seldom	overly	antonym
unusual	right-hand	unrelated
men	boy	antonym
star	planet	antonym
river	desert	antonym
no	sufficiency	unrelated
security	 the weakness 	other
